[2024-02-23 20:00:12,166: INFO: main: Welcome to our custom log]
[2024-02-23 20:03:14,188: INFO: main: Welcome to our custom log]
[2024-03-03 16:07:58,318: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-03 16:07:58,332: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-03 16:10:27,532: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-03 16:10:27,540: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-03 16:12:15,333: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-03 16:12:15,353: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-03 16:12:15,377: INFO: common: created directory at: artifacts]
[2024-03-03 16:13:45,115: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-03 16:13:45,121: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-03 16:13:45,123: INFO: common: created directory at: artifacts]
[2024-03-03 16:14:08,947: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-03 16:14:08,961: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-03 16:14:08,963: INFO: common: created directory at: artifacts]
[2024-03-03 16:14:08,977: INFO: 1357869999: Downloading data from https://drive.google.com/file/d/187EyqUP3PzWdnEEiuoa8hjIY-5lihfbp/view?usp=sharing into file  artifacts/data_ingestion/data.zip]
[2024-03-03 16:14:12,607: INFO: 1357869999: Downloaded data from https://drive.google.com/file/d/187EyqUP3PzWdnEEiuoa8hjIY-5lihfbp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
